City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Kavieng,PG,2022-09-03 00:56:46,-2.5744,150.7967,85.41,61,94,14.47
163,Kropotkin,RU,2022-09-03 00:56:46,45.4375,40.5756,69.93,39,52,17.65
164,Avarua,CK,2022-09-03 00:56:47,-21.2078,-159.775,78.85,83,40,9.22
165,Christchurch,NZ,2022-09-03 00:54:48,-43.5333,172.6333,65.95,41,6,12.66
166,Jiaocheng,CN,2022-09-03 00:56:48,24.6774,116.1389,80.29,52,1,4.68
167,Port Elizabeth,ZA,2022-09-03 00:53:35,-33.918,25.5701,52.09,87,0,4.61
168,Faanui,PF,2022-09-03 00:56:48,-16.4833,-151.75,78.98,67,1,20.0
169,Ola,RU,2022-09-03 00:56:48,59.5833,151.2833,57.15,96,100,11.03
170,Mar Del Plata,AR,2022-09-03 00:55:44,-38.0023,-57.5575,44.87,76,0,5.99
171,Ouesso,CG,2022-09-03 00:56:49,1.6136,16.0517,66.58,99,79,0.92
172,Atasu,KZ,2022-09-03 00:56:49,48.6814,71.6433,70.45,33,5,2.51
173,Les Cayes,HT,2022-09-03 00:56:50,18.2,-73.75,78.48,82,73,3.13
174,Itarema,BR,2022-09-03 00:55:21,-2.9248,-39.9167,77.94,82,2,17.87
175,Roebourne,AU,2022-09-03 00:56:50,-20.7833,117.1333,68.09,81,100,12.19
176,North Platte,US,2022-09-03 00:53:24,41.1239,-100.7654,88.38,31,6,15.99
177,Fairview,US,2022-09-03 00:56:51,40.8126,-73.999,72.57,68,85,7.0
178,Batemans Bay,AU,2022-09-03 00:56:51,-35.7167,150.1833,58.1,47,13,13.0
179,Portland,US,2022-09-03 00:56:49,45.5234,-122.6762,90.55,44,0,3.0
180,Lebu,CL,2022-09-03 00:56:52,-37.6167,-73.65,48.88,87,0,17.31
181,Vestmannaeyjar,IS,2022-09-03 00:56:52,63.4427,-20.2734,52.02,76,3,3.78
182,Bubaque,GW,2022-09-03 00:56:52,11.2833,-15.8333,78.51,80,98,7.7
183,Boulsa,BF,2022-09-03 00:56:53,12.6675,-0.5758,71.65,93,100,9.22
184,Tual,ID,2022-09-03 00:57:53,-5.6667,132.75,80.96,82,82,20.04
185,Tambacounda,SN,2022-09-03 00:57:54,13.7539,-13.7586,74.39,93,80,5.79
186,Suntar,RU,2022-09-03 00:57:54,62.1444,117.6319,41.61,94,100,4.85
187,Sabang,ID,2022-09-03 00:57:54,5.8933,95.3214,80.6,77,45,22.24
188,Kasongo-Lunda,CD,2022-09-03 00:57:55,-6.4667,16.8167,70.77,84,53,2.01
