City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Arawa,PG,86.14,overcast clouds,-6.2132,155.5367,Coastline Guest House
158,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
160,Pasir Gudang,MY,86.36,broken clouds,1.4584,103.8805,Swan Garden Hotel Seri Alam
161,Bud,US,75.67,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
163,Black River,JM,78.49,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
164,Atuona,PF,77.25,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
166,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
172,San Quintin,MX,76.46,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
173,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
174,Saint Anthony,US,75.09,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
175,Elk City,US,77.22,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
176,Kavieng,PG,85.51,broken clouds,-2.5744,150.7967,Nusa Island Retreat
177,Callaway,US,82.33,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
178,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
184,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
188,Dickinson,US,83.03,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
197,Nador,MA,82.65,light rain,35.174,-2.9287,Hôtel La Giralda
199,Basco,PH,82.92,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
203,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
204,Along,IN,75.29,overcast clouds,28.1667,94.7667,Hotel West
208,Chumphon,TH,81.63,overcast clouds,10.3333,98.8333,สกาน จ๋า.
214,Sabang,ID,81.05,broken clouds,5.8933,95.3214,Hotel Citra
215,Catuday,PH,80.17,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
217,Riyadh,SA,78.94,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
218,Hays,US,82.89,overcast clouds,30.0502,-98.0336,CHAPEL HOME
221,Port Blair,IN,84.99,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
225,Baculin,PH,87.22,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
226,Culiacan,MX,83.88,overcast clouds,24.7994,-107.3897,Hotel Lucerna Culiacán
228,Katsuura,JP,80.44,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
230,Kalawit,PH,86.2,overcast clouds,8.0667,122.5167,Ompoy Pension House
231,Alyangula,AU,77.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
235,Qui Nhon,VN,89.71,overcast clouds,13.7667,109.2333,Seagull Hotel
243,Bahia Honda,CU,78.46,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
245,Kota Belud,MY,85.64,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
255,Dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
261,Faanui,PF,78.98,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
269,San Policarpo,PH,87.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
271,Mangrol,IN,83.3,clear sky,21.1167,70.1167,Hotel The Royal Honours
272,Arlit,NE,86.72,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
273,Puri,IN,88.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
277,Sur,OM,83.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
284,Biak,ID,81.52,broken clouds,-0.9131,122.8766,Penginapan Kim
287,Ukiah,US,80.49,haze,39.1502,-123.2078,Hampton Inn Ukiah
290,Brigham City,US,80.62,clear sky,41.5102,-112.0155,Best Western Brigham City Inn & Suites
292,Auki,SB,82.85,broken clouds,-8.7676,160.7034,Auki Motel
293,San Patricio,US,85.86,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
299,Tevaitoa,PF,78.76,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
300,Beyneu,KZ,87.03,clear sky,45.3167,55.2,NUR
301,Fereydun Kenar,IR,81.05,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
309,Aracati,BR,75.52,clear sky,-4.5617,-37.7697,Hostel Pousada Ibiza
315,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
316,Douglas,US,81.46,broken clouds,41.3,-96.167,Hilton Garden Inn Omaha West
319,Huilong,CN,80.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
322,Santa Rosa,PH,85.98,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
325,Qeshm,IR,85.89,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
327,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
328,Renqiu,CN,79.05,moderate rain,38.6989,116.0936,City Garden Renqiu Meishicheng Store
330,Nicoya,CR,75.79,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
332,Niquero,CU,77.7,scattered clouds,20.0431,-77.5828,Islazul Niquero
336,Kuching,MY,82.62,light rain,1.55,110.3333,Hilton Kuching
338,Vanimo,PG,85.33,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
344,Torrevieja,ES,80.51,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
351,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
352,Samarai,PG,83.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
354,Jeremie,HT,79.83,scattered clouds,18.65,-74.1167,Auberge’Inn
355,Harrison,US,84.27,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
356,Miacatlan,MX,75.42,overcast clouds,18.7667,-99.3667,CASA DOMINGO HOTEL PETIT
357,Gannan,CN,88.61,broken clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
359,Qinzhou,CN,88.59,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
362,Dothan,US,76.24,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
363,Rincon,US,76.91,overcast clouds,32.296,-81.2354,Days Inn Rincon
366,Marawi,PH,85.06,overcast clouds,7.9986,124.2928,Derogongan Residence
369,Sadiqabad,PK,89.74,few clouds,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
373,Hobyo,SO,76.26,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
